sampleID,visitDate,TN,TP,disNH4,disNO3,disPO4,TDN,TDP,locName,Pool Volume (cu ft)_x,samp_type,notes,samp_notes,y,x,Total_Mean_TP,Total_Mean_TN,Total_Mean_disNH4,Total_Mean_disNO3,Total_Mean_disPO4,Visit_Mean_TP,Visit_Mean_TN,Visit_Mean_disNH4,Visit_Mean_disNO3,Visit_Mean_disPO4,Wetland_ID,Max Depth  (ft),Slope Range,Bottom Deviation of wetland,Pool Volume (cu ft)_y,Season,Crop_Season,Defined_Season
W00151,2021-08-27,5.332,0.69,0.02,0.1556,0.01,,,Wetland Pool 2,7383.0,sample,"Not sure this is P6-It's not, it's P2. This assignment was changed based on GIS coordinates.",,41.02421124,-83.69477386,0.2728,2.7487,0.024,0.1044,0.0184,0.69,5.332,0.02,0.1556,0.01,P-02,0.5,10:1,774.8,7383.0,Summer,Crop_Season,Season_1
W00050,2021-05-27,1.123,0.099,0.033,0.05,0.01,1.049,0.056,Wetland Pool 2,7383.0,sample,"This pool was full of water --> sample was weighed down too much in refridgerator and spilled, so it is all gone (discovered 06-17-2021)",,41.0242,-83.6951,0.2728,2.7487,0.024,0.1044,0.0184,0.0985,1.115,0.032,0.05,0.01,P-02,0.5,10:1,774.8,7383.0,Spring,Crop_Season,Season_1
W00048,2021-05-27,0.79,0.057,0.03,0.05,0.017,0.943,0.05,Wetland Pool 3,5050.0,sample,"This pool was full and detritus could be found on the surface, there was more vegitation than other pools found within the pool",,41.0232,-83.6947,0.0543,0.7703,0.0363,0.075,0.0123,0.0585,0.8735,0.0445,0.05,0.0135,P-03,0.5,10:1,775.0,5050.0,Spring,Crop_Season,Season_1
W00047,2021-05-27,0.957,0.06,0.059,0.05,0.01,0.896,0.043,Wetland Pool 3,5050.0,sample,"This pool was full and detritus could be found on the surface, there was more vegitation than other pools found within the pool",,41.0234,-83.6951,0.0543,0.7703,0.0363,0.075,0.0123,0.0585,0.8735,0.0445,0.05,0.0135,P-03,0.5,10:1,775.0,5050.0,Spring,Crop_Season,Season_1
W00356,2022-04-01,0.564,0.046,0.02,0.125,0.01,,,Wetland Pool 3,5050.0,sample,,Shallow with lots of vegetation,41.02336667,-83.69515333,0.0543,0.7703,0.0363,0.075,0.0123,0.046,0.564,0.02,0.125,0.01,P-03,0.5,10:1,775.0,5050.0,Spring,Non_Crop_Season,Season_2
W00149,2021-08-27,2.536,0.142,0.1956,0.05,0.0323,,,Wetland Pool 4,49146.0,sample,Very large pool,,41.02356336,-83.69422241,0.1516,1.8775,0.0457,0.0942,0.0153,0.142,2.536,0.1956,0.05,0.0323,P-04,2.0,16:1 to 52:1,773.7,49146.0,Summer,Crop_Season,Season_1
W02509,2022-07-14,4.471,0.445,0.02,0.0922,0.01,,,Wetland Pool 4,49146.0,sample,,,41.0237,-83.69371167,0.1516,1.8775,0.0457,0.0942,0.0153,0.445,4.471,0.02,0.0922,0.01,P-04,2.0,16:1 to 52:1,773.7,49146.0,Summer,Crop_Season,Season_3
W03575,2023-04-18,1.08,0.19,0.02,0.1222,0.01,,,Wetland Pool 4,49146.0,sample,,,41.02378833,-83.69421167,0.1516,1.8775,0.0457,0.0942,0.0153,0.19,1.08,0.02,0.1222,0.01,P-04,2.0,16:1 to 52:1,773.7,49146.0,Spring,Non_Crop_Season,Season_4
W02636,2022-08-18,1.378629,0.054,0.02,0.05,0.01,,,Wetland Pool 4,49146.0,sample,,,41.02360333,-83.69424167,0.1516,1.8775,0.0457,0.0942,0.0153,0.054,1.3786,0.02,0.05,0.01,P-04,2.0,16:1 to 52:1,773.7,49146.0,Summer,Crop_Season,Season_3
W03668,2023-06-15,1.22,0.15,0.02,0.1732,0.0174,,,Wetland Pool 4,49146.0,sample,,Veg and depth like 9,41.02349,-83.69364833,0.1516,1.8775,0.0457,0.0942,0.0153,0.15,1.22,0.02,0.1732,0.0174,P-04,2.0,16:1 to 52:1,773.7,49146.0,Summer,Crop_Season,Season_5
W02692,2022-09-20,1.831751,0.131,0.02,0.05,0.01,,,Wetland Pool 4,49146.0,sample,,,41.02347833,-83.69370167,0.1516,1.8775,0.0457,0.0942,0.0153,0.131,1.8318,0.02,0.05,0.01,P-04,2.0,16:1 to 52:1,773.7,49146.0,Autumn,Crop_Season,Season_3
W02755,2022-11-01,2.161226,0.129,0.02,0.1606,0.01,,,Wetland Pool 4,49146.0,sample,,,41.023505,-83.69368667,0.1516,1.8775,0.0457,0.0942,0.0153,0.119,2.1096,0.02,0.1628,0.01,P-04,2.0,16:1 to 52:1,773.7,49146.0,Autumn,Non_Crop_Season,Season_4
W02810,2022-11-29,1.86,0.15,0.0283,0.05,0.01,,,Wetland Pool 4,49146.0,sample,,,41.02334167,-83.69406833,0.1516,1.8775,0.0457,0.0942,0.0153,0.125,1.75,0.083,0.05,0.01,P-04,2.0,16:1 to 52:1,773.7,49146.0,Autumn,Non_Crop_Season,Season_4
W02756,2022-11-01,2.057969,0.109,0.02,0.165,0.01,,,Wetland Pool 4,49146.0,sample,,,41.02334167,-83.69400833,0.1516,1.8775,0.0457,0.0942,0.0153,0.119,2.1096,0.02,0.1628,0.01,P-04,2.0,16:1 to 52:1,773.7,49146.0,Autumn,Non_Crop_Season,Season_4
W03750,2023-07-26,,,0.0267,0.05,0.0435,,,Wetland Pool 4,49146.0,sample,,,41.02344167,-83.69373,0.1516,1.8775,0.0457,0.0942,0.0153,,,0.0267,0.05,0.0435,P-04,2.0,16:1 to 52:1,773.7,49146.0,Summer,Crop_Season,Season_5
W02809,2022-11-29,1.64,0.1,0.1376,0.05,0.01,,,Wetland Pool 4,49146.0,sample,,,41.02355333,-83.69356833,0.1516,1.8775,0.0457,0.0942,0.0153,0.125,1.75,0.083,0.05,0.01,P-04,2.0,16:1 to 52:1,773.7,49146.0,Autumn,Non_Crop_Season,Season_4
W00358,2022-04-01,0.416,0.068,0.02,0.1169,0.01,,,Wetland Pool 4,49146.0,sample,,Area surrounding this pool is hummock and hollow and the hollows are holding a lot of water. There is no dry boundary between some pools.,41.02375333,-83.69376,0.1516,1.8775,0.0457,0.0942,0.0153,0.068,0.416,0.02,0.1169,0.01,P-04,2.0,16:1 to 52:1,773.7,49146.0,Spring,Non_Crop_Season,Season_2
W00150,2021-08-27,5.152,0.268,0.2551,0.05,0.0176,,,Wetland Pool 5,4000.0,sample,,,41.02322762,-83.69357667,0.3197,3.705,0.0984,0.0566,0.0125,0.268,5.152,0.2551,0.05,0.0176,P-05,1.0,10:1,775.0,4000.0,Summer,Crop_Season,Season_1
W02510,2022-07-14,5.204,0.626,0.02,0.0664,0.01,,,Wetland Pool 5,4000.0,sample,,,41.02319667,-83.69341333,0.3197,3.705,0.0984,0.0566,0.0125,0.626,5.204,0.02,0.0664,0.01,P-05,1.0,10:1,775.0,4000.0,Summer,Crop_Season,Season_3
W00387,2022-04-15,0.759,0.065,0.02,0.0534,0.01,,,Wetland Pool 5,4000.0,sample,,,41.02326333,-83.69358167,0.3197,3.705,0.0984,0.0566,0.0125,0.065,0.759,0.02,0.0534,0.01,P-05,1.0,10:1,775.0,4000.0,Spring,Non_Crop_Season,Season_2
W03576,2023-04-18,1.03,0.1,0.02,0.1234,0.01,,,Wetland Pool 6,8055.0,sample,,,41.02398833,-83.693395,0.3162,2.6556,0.028,0.1272,0.0165,0.1,1.03,0.02,0.1234,0.01,P-06,1.0,10:1,774.7,8055.0,Spring,Non_Crop_Season,Season_4
W03662,2023-06-15,5.86,0.91,0.0598,0.2437,0.0414,,,Wetland Pool 6,8055.0,sample,,,41.02408,-83.69325667,0.3162,2.6556,0.028,0.1272,0.0165,0.91,5.86,0.0598,0.2437,0.0414,P-06,1.0,10:1,774.7,8055.0,Summer,Crop_Season,Season_5
W02637,2022-08-18,2.408968,0.317,0.02,0.05,0.01,,,Wetland Pool 6,8055.0,sample,,,41.02402,-83.69336,0.3162,2.6556,0.028,0.1272,0.0165,0.317,2.409,0.02,0.05,0.01,P-06,1.0,10:1,774.7,8055.0,Summer,Crop_Season,Season_3
W00359,2022-04-01,0.824,0.091,0.02,0.1688,0.01,,,Wetland Pool 6,8055.0,sample,,Difficult to find a dry area for staging sampling gear,41.02399833,-83.69329,0.3162,2.6556,0.028,0.1272,0.0165,0.091,0.824,0.02,0.1688,0.01,P-06,1.0,10:1,774.7,8055.0,Spring,Non_Crop_Season,Season_2
W02508,2022-07-14,3.155,0.163,0.02,0.05,0.0113,,,Wetland Pool 6,8055.0,sample,,,41.02399,-83.69339833,0.3162,2.6556,0.028,0.1272,0.0165,0.163,3.155,0.02,0.05,0.0113,P-06,1.0,10:1,774.7,8055.0,Summer,Crop_Season,Season_3
W00152,2021-08-27,2.134,0.154,0.02,0.0504,0.01,,,Wetland Pool 7,9620.0,sample,Shallow and full of vegetation,,41.0241892,-83.69267402,0.091,1.3905,0.02,0.086,0.01,0.154,2.134,0.02,0.0504,0.01,P-07,1.0,10:1,775.0,9620.0,Summer,Crop_Season,Season_1
W00360,2022-04-01,0.647,0.028,0.02,0.1217,0.01,,,Wetland Pool 7,9620.0,sample,,Almost no boundaries between some pools,41.02391667,-83.6928,0.091,1.3905,0.02,0.086,0.01,0.028,0.647,0.02,0.1217,0.01,P-07,1.0,10:1,775.0,9620.0,Spring,Non_Crop_Season,Season_2
W00153,2021-08-27,2.463,0.15,0.02,0.05,0.0772,,,Wetland Pool 8,6000.0,sample,Green moss on surface. Different from other pools,,41.02369391,-83.69275566,0.3268,2.8574,0.2194,0.0917,0.0507,0.15,2.463,0.02,0.05,0.0772,P-08,1.5,10:1,774.5,6000.0,Summer,Crop_Season,Season_1
W02638,2022-08-18,3.654108,0.333,0.02,0.05,0.0195,,,Wetland Pool 8,6000.0,sample,,,41.02371667,-83.69279667,0.3268,2.8574,0.2194,0.0917,0.0507,0.333,3.6541,0.02,0.05,0.0195,P-08,1.5,10:1,774.5,6000.0,Summer,Crop_Season,Season_3
W03577,2023-04-18,0.75,0.06,0.02,0.1255,0.01,,,Wetland Pool 8,6000.0,sample,,,41.02349667,-83.69280667,0.3268,2.8574,0.2194,0.0917,0.0507,0.06,0.75,0.02,0.1255,0.01,P-08,1.5,10:1,774.5,6000.0,Spring,Non_Crop_Season,Season_4
W02512,2022-07-14,3.313,0.187,0.02,0.0502,0.01,,,Wetland Pool 8,6000.0,sample,,,41.02369167,-83.69264667,0.3268,2.8574,0.2194,0.0917,0.0507,0.187,3.313,0.02,0.0502,0.01,P-08,1.5,10:1,774.5,6000.0,Summer,Crop_Season,Season_3
W03663,2023-06-15,6.46,1.16,1.2161,0.1758,0.1776,,,Wetland Pool 8,6000.0,sample,,,41.02376833,-83.69255,0.3268,2.8574,0.2194,0.0917,0.0507,1.16,6.46,1.2161,0.1758,0.1776,P-08,1.5,10:1,774.5,6000.0,Summer,Crop_Season,Season_5
W00361,2022-04-01,0.504,0.071,0.02,0.0986,0.01,,,Wetland Pool 8,6000.0,sample,,,41.02390667,-83.69276833,0.3268,2.8574,0.2194,0.0917,0.0507,0.071,0.504,0.02,0.0986,0.01,P-08,1.5,10:1,774.5,6000.0,Spring,Non_Crop_Season,Season_2
W00362,2022-04-01,0.699,0.179,0.02,0.1372,0.01,,,Wetland Pool 9,52478.0,sample,,,41.023555,-83.69244,0.23,2.243,0.0666,0.085,0.0106,0.179,0.699,0.02,0.1372,0.01,P-09,2.0,12:1 to 26:1,774.1,52478.0,Spring,Non_Crop_Season,Season_2
W03749,2023-07-26,,,0.02,0.05,0.0169,,,Wetland Pool 9,52478.0,sample,,,41.02323833,-83.69234833,0.23,2.243,0.0666,0.085,0.0106,,,0.02,0.05,0.0169,P-09,2.0,12:1 to 26:1,774.1,52478.0,Summer,Crop_Season,Season_5
W02511,2022-07-14,4.26,0.42,0.02,0.0565,0.01,,,Wetland Pool 9,52478.0,sample,,,41.02328333,-83.69272667,0.23,2.243,0.0666,0.085,0.0106,0.42,4.26,0.02,0.0565,0.01,P-09,2.0,12:1 to 26:1,774.1,52478.0,Summer,Crop_Season,Season_3
W00154,2021-08-27,3.474,0.444,0.02,0.0503,0.01,,,Wetland Pool 9,52478.0,sample,Unfiltered ,,41.02315881,-83.69262599,0.23,2.243,0.0666,0.085,0.0106,0.444,3.474,0.02,0.0503,0.01,P-09,2.0,12:1 to 26:1,774.1,52478.0,Summer,Crop_Season,Season_1
W02808,2022-11-29,2.43,0.21,0.2575,0.05,0.01,,,Wetland Pool 9,52478.0,sample,,,41.023375,-83.69246167,0.23,2.243,0.0666,0.085,0.0106,0.19,2.2,0.2761,0.05,0.01,P-09,2.0,12:1 to 26:1,774.1,52478.0,Autumn,Non_Crop_Season,Season_4
W02691,2022-09-20,2.009323,0.176,0.02,0.05,0.01,,,Wetland Pool 9,52478.0,sample,,,41.02320667,-83.69235667,0.23,2.243,0.0666,0.085,0.0106,0.176,2.0093,0.02,0.05,0.01,P-09,2.0,12:1 to 26:1,774.1,52478.0,Autumn,Crop_Season,Season_3
W03578,2023-04-18,0.93,0.19,0.02,0.109,0.01,,,Wetland Pool 9,52478.0,sample,,,41.02312667,-83.692535,0.23,2.243,0.0666,0.085,0.0106,0.19,0.93,0.02,0.109,0.01,P-09,2.0,12:1 to 26:1,774.1,52478.0,Spring,Non_Crop_Season,Season_4
W02753,2022-11-01,2.191188,0.136,0.02,0.1742,0.01,,,Wetland Pool 9,52478.0,sample,,,41.02317833,-83.69225167,0.23,2.243,0.0666,0.085,0.0106,0.2015,2.5556,0.02,0.166,0.01,P-09,2.0,12:1 to 26:1,774.1,52478.0,Autumn,Non_Crop_Season,Season_4
W02754,2022-11-01,2.920108,0.267,0.02,0.1579,0.01,,,Wetland Pool 9,52478.0,sample,,,41.02344,-83.69248,0.23,2.243,0.0666,0.085,0.0106,0.2015,2.5556,0.02,0.166,0.01,P-09,2.0,12:1 to 26:1,774.1,52478.0,Autumn,Non_Crop_Season,Season_4
W02807,2022-11-29,1.97,0.17,0.2947,0.05,0.01,,,Wetland Pool 9,52478.0,sample,,,41.02310167,-83.69229167,0.23,2.243,0.0666,0.085,0.0106,0.19,2.2,0.2761,0.05,0.01,P-09,2.0,12:1 to 26:1,774.1,52478.0,Autumn,Non_Crop_Season,Season_4
W02643,2022-08-18,1.546713,0.108,0.02,0.05,0.01,,,Wetland Pool 9,52478.0,sample,,,41.02329667,-83.69241333,0.23,2.243,0.0666,0.085,0.0106,0.108,1.5467,0.02,0.05,0.01,P-09,2.0,12:1 to 26:1,774.1,52478.0,Summer,Crop_Season,Season_3
W03579,2023-04-18,1.53,0.46,0.02,0.1194,0.1673,,,Wetland Pool 10,2000.0,sample,,,41.023065,-83.69183667,0.2525,1.098,0.02,0.082,0.0887,0.46,1.53,0.02,0.1194,0.1673,P-10,0.5,10:1,776.0,2000.0,Spring,Non_Crop_Season,Season_4
W00388,2022-04-15,0.666,0.045,0.02,0.0447,0.01,,,Wetland Pool 10,2000.0,sample,,,41.02299333,-83.69168167,0.2525,1.098,0.02,0.082,0.0887,0.045,0.666,0.02,0.0447,0.01,P-10,0.5,10:1,776.0,2000.0,Spring,Non_Crop_Season,Season_2
W00363,2022-04-01,0.74,0.088,0.02,0.1422,0.01,,,Wetland Pool 11,4000.0,sample,,,41.02361667,-83.69210667,0.1187,1.515,0.02,0.1094,0.0178,0.088,0.74,0.02,0.1422,0.01,P-11,1.0,10:1,775.4,4000.0,Spring,Non_Crop_Season,Season_2
W03580,2023-04-18,0.84,0.14,0.02,0.136,0.0334,,,Wetland Pool 11,4000.0,sample,,,41.023605,-83.69191167,0.1187,1.515,0.02,0.1094,0.0178,0.14,0.84,0.02,0.136,0.0334,P-11,1.0,10:1,775.4,4000.0,Spring,Non_Crop_Season,Season_4
W00155,2021-08-27,2.965,0.128,0.02,0.05,0.01,,,Wetland Pool 11,4000.0,sample,Unfiltered ,,41.02355343,-83.69212492,0.1187,1.515,0.02,0.1094,0.0178,0.128,2.965,0.02,0.05,0.01,P-11,1.0,10:1,775.4,4000.0,Summer,Crop_Season,Season_1
W02688,2022-09-20,12.95108,1.503,0.02,0.05,0.0161,,,Wetland Pool 12,12750.0,sample,,,41.02408,-83.691935,0.3659,3.3078,0.1484,0.0906,0.0111,1.503,12.9511,0.02,0.05,0.0161,P-12,1.5,12:1 to 48:1,774.9,12750.0,Autumn,Crop_Season,Season_3
W02639,2022-08-18,3.300922,0.507,0.02,0.05,0.01,,,Wetland Pool 12,12750.0,sample,,,41.02410167,-83.69204333,0.3659,3.3078,0.1484,0.0906,0.0111,0.507,3.3009,0.02,0.05,0.01,P-12,1.5,12:1 to 48:1,774.9,12750.0,Summer,Crop_Season,Season_3
W03581,2023-04-18,0.99,0.05,0.02,0.1192,0.01,,,Wetland Pool 12,12750.0,sample,,,41.02409333,-83.691875,0.3659,3.3078,0.1484,0.0906,0.0111,0.05,0.99,0.02,0.1192,0.01,P-12,1.5,12:1 to 48:1,774.9,12750.0,Spring,Non_Crop_Season,Season_4
W00365,2022-04-01,0.559,0.052,0.02,0.1294,0.01,,,Wetland Pool 12,12750.0,sample,,,41.02404833,-83.69138167,0.3659,3.3078,0.1484,0.0906,0.0111,0.0585,0.6845,0.02,0.1216,0.01,P-12,1.5,12:1 to 48:1,774.9,12750.0,Spring,Non_Crop_Season,Season_2
W03664,2023-06-15,3.64,0.43,1.1857,0.1887,0.01,,,Wetland Pool 12,12750.0,sample,,,41.02412333,-83.69184667,0.3659,3.3078,0.1484,0.0906,0.0111,0.43,3.64,1.1857,0.1887,0.01,P-12,1.5,12:1 to 48:1,774.9,12750.0,Summer,Crop_Season,Season_5
W00156,2021-08-27,1.953,0.159,0.02,0.0564,0.01,,,Wetland Pool 12,12750.0,sample,Unfiltered. Some green miss like previous pool. ,,41.02409838,-83.69212031,0.3659,3.3078,0.1484,0.0906,0.0111,0.159,1.953,0.02,0.0564,0.01,P-12,1.5,12:1 to 48:1,774.9,12750.0,Summer,Crop_Season,Season_1
W02513,2022-07-14,4.469,0.437,0.02,0.0709,0.0135,,,Wetland Pool 12,12750.0,sample,,,41.024005,-83.69211167,0.3659,3.3078,0.1484,0.0906,0.0111,0.437,4.469,0.02,0.0709,0.0135,P-12,1.5,12:1 to 48:1,774.9,12750.0,Summer,Crop_Season,Season_3
W00364,2022-04-01,0.81,0.065,0.02,0.1138,0.01,,,Wetland Pool 12,12750.0,sample,,,41.02406,-83.69191667,0.3659,3.3078,0.1484,0.0906,0.0111,0.0585,0.6845,0.02,0.1216,0.01,P-12,1.5,12:1 to 48:1,774.9,12750.0,Spring,Non_Crop_Season,Season_2
W00395,2022-04-15,1.097,0.09,0.0103,0.037,0.01,,,Wetland Pool 12,12750.0,sample,,,41.02409333,-83.691805,0.3659,3.3078,0.1484,0.0906,0.0111,0.09,1.097,0.0103,0.037,0.01,P-12,1.5,12:1 to 48:1,774.9,12750.0,Spring,Non_Crop_Season,Season_2
W02515,2022-07-14,2.854,0.102,0.031,0.0505,0.01,,,Wetland Pool 13,6000.0,sample,,,41.023975,-83.69118667,0.1462,1.6569,0.0234,0.0961,0.0167,0.102,2.854,0.031,0.0505,0.01,P-13,1.5,10:1,775.1,6000.0,Summer,Crop_Season,Season_3
W03665,2023-06-15,2.37,0.39,0.0261,0.1997,0.0433,,,Wetland Pool 13,6000.0,sample,,Very dense tall veg cattails,41.024105,-83.69132333,0.1462,1.6569,0.0234,0.0961,0.0167,0.39,2.37,0.0261,0.1997,0.0433,P-13,1.5,10:1,775.1,6000.0,Summer,Crop_Season,Season_5
W02640,2022-08-18,1.967646,0.13,0.02,0.05,0.01,,,Wetland Pool 13,6000.0,sample,,,41.02406833,-83.69137833,0.1462,1.6569,0.0234,0.0961,0.0167,0.13,1.9676,0.02,0.05,0.01,P-13,1.5,10:1,775.1,6000.0,Summer,Crop_Season,Season_3
W00394,2022-04-15,0.638,0.044,0.02,0.0553,0.01,,,Wetland Pool 13,6000.0,sample,,No veg in this pool. Deeper than others. ,41.02400667,-83.69102667,0.1462,1.6569,0.0234,0.0961,0.0167,0.044,0.638,0.02,0.0553,0.01,P-13,1.5,10:1,775.1,6000.0,Spring,Non_Crop_Season,Season_2
W00366,2022-04-01,0.455,0.065,0.02,0.1248,0.01,,,Wetland Pool 13,6000.0,sample,,,41.02396667,-83.69073333,0.1462,1.6569,0.0234,0.0961,0.0167,0.065,0.455,0.02,0.1248,0.01,P-13,1.5,10:1,775.1,6000.0,Spring,Non_Crop_Season,Season_2
W02516,2022-07-14,6.487,0.884,0.0308,0.0943,0.0264,,,Wetland Pool 14,4000.0,sample,,,41.02389333,-83.69068,0.2802,2.4283,0.0363,0.2232,0.0148,0.884,6.487,0.0308,0.0943,0.0264,P-14,1.0,10:1,775.7,4000.0,Summer,Crop_Season,Season_3
W00393,2022-04-15,0.78,0.085,0.0194,0.0673,0.0127,,,Wetland Pool 14,4000.0,sample,,Lots of tall grass,41.02388167,-83.69051667,0.2802,2.4283,0.0363,0.2232,0.0148,0.085,0.78,0.0194,0.0673,0.0127,P-14,1.0,10:1,775.7,4000.0,Spring,Non_Crop_Season,Season_2
W00052,2021-05-27,0.833,0.072,0.075,0.05,0.01,0.781,0.022,Wetland Pool 14,4000.0,sample,This pool was full of water and had been sprayed with seed previously so plants were sprouting.,,41.024265,-83.690516,0.2802,2.4283,0.0363,0.2232,0.0148,0.072,0.833,0.075,0.05,0.01,P-14,1.0,10:1,775.7,4000.0,Spring,Crop_Season,Season_1
W00078,2021-07-30,1.613,0.08,0.02,0.681067,0.01,,,Wetland Pool 14,4000.0,replicate ,Southeast corner of pool ,,41.024444,-83.689722,0.2802,2.4283,0.0363,0.2232,0.0148,0.08,1.613,0.02,0.6811,0.01,P-14,1.0,10:1,775.7,4000.0,Summer,Crop_Season,Season_1
W00157,2021-08-27,2.712,0.157,0.02,0.0616,0.01,,,Wetland Pool 15,19500.0,sample,Unfiltered ,,41.02321601,-83.69100753,0.159,2.1287,0.0357,0.0616,0.0143,0.157,2.712,0.02,0.0616,0.01,P-15,1.5,16:1,775.4,19500.0,Summer,Crop_Season,Season_1
W00389,2022-04-15,0.589,0.034,0.02,0.0604,0.01,,,Wetland Pool 15,19500.0,sample,,,41.02324,-83.69115,0.159,2.1287,0.0357,0.0616,0.0143,0.034,0.589,0.02,0.0604,0.01,P-15,1.5,16:1,775.4,19500.0,Spring,Non_Crop_Season,Season_2
W02514,2022-07-14,3.085,0.286,0.067,0.0629,0.0228,,,Wetland Pool 15,19500.0,sample,,Water too low for physico. Very dense veg difficult to penetrate,41.02332,-83.69125333,0.159,2.1287,0.0357,0.0616,0.0143,0.286,3.085,0.067,0.0629,0.0228,P-15,1.5,16:1,775.4,19500.0,Summer,Crop_Season,Season_3
W00158,2021-08-27,1.858,0.157,0.02,0.0278,0.01,,,Wetland Pool 16,4000.0,sample,Unfiltered ,,41.02300081,-83.69078156,0.1,1.3365,0.02,0.0412,0.01,0.157,1.858,0.02,0.0278,0.01,P-16,1.0,10:1,775.8,4000.0,Summer,Crop_Season,Season_1
W00390,2022-04-15,0.815,0.043,0.02,0.0547,0.01,,,Wetland Pool 16,4000.0,sample,,,41.02307667,-83.69081667,0.1,1.3365,0.02,0.0412,0.01,0.043,0.815,0.02,0.0547,0.01,P-16,1.0,10:1,775.8,4000.0,Spring,Non_Crop_Season,Season_2
W00392,2022-04-15,0.691,0.073,0.011,0.052,0.01,,,Wetland Pool 17,2000.0,sample,,Full of tall grass. Difficult to see until you walk into it. ,41.0236,-83.69033,0.073,0.691,0.011,0.052,0.01,0.073,0.691,0.011,0.052,0.01,P-17,0.7,10:2,776.5,2000.0,Spring,Non_Crop_Season,Season_2
W03748,2023-07-26,,,0.02,0.05,0.01,,,Wetland Pool 18,19452.0,sample,,,41.023715,-83.68997833,0.0998,1.4082,0.0577,0.0863,0.0225,,,0.02,0.05,0.01,P-18,2.0,12:1 to 19:1,774.8,19452.0,Summer,Crop_Season,Season_5
W02641,2022-08-18,1.213434,0.04,0.3864,0.05,0.01,,,Wetland Pool 18,19452.0,sample,,,41.02377667,-83.689965,0.0998,1.4082,0.0577,0.0863,0.0225,0.04,1.2134,0.3864,0.05,0.01,P-18,2.0,12:1 to 19:1,774.8,19452.0,Summer,Crop_Season,Season_3
W02751,2022-11-01,2.003361,0.168,0.02,0.174,0.01,,,Wetland Pool 18,19452.0,sample,,,41.023765,-83.68996333,0.0998,1.4082,0.0577,0.0863,0.0225,0.2145,2.1181,0.02,0.1677,0.01,P-18,2.0,12:1 to 19:1,774.8,19452.0,Autumn,Non_Crop_Season,Season_4
W00367,2022-04-01,0.484,0.093,0.02,0.1161,0.016,,,Wetland Pool 18,19452.0,sample,,,41.02389167,-83.68997,0.0998,1.4082,0.0577,0.0863,0.0225,0.093,0.484,0.02,0.1161,0.016,P-18,2.0,12:1 to 19:1,774.8,19452.0,Spring,Non_Crop_Season,Season_2
W00159,2021-08-27,1.789,0.077,0.02,0.0629,0.01,,,Wetland Pool 18,19452.0,sample,"Chad says this has always been different, muddier, no vegetation in center even though it is shallow, no apparent reason. Unfiltered ",,41.02370707,-83.68975771,0.0998,1.4082,0.0577,0.0863,0.0225,0.077,1.789,0.02,0.0629,0.01,P-18,2.0,12:1 to 19:1,774.8,19452.0,Summer,Crop_Season,Season_1
W02517,2022-07-14,2.537,0.07,0.02,0.05,0.01,,,Wetland Pool 18,19452.0,sample,,,41.02378167,-83.69003333,0.0998,1.4082,0.0577,0.0863,0.0225,0.07,2.537,0.02,0.05,0.01,P-18,2.0,12:1 to 19:1,774.8,19452.0,Summer,Crop_Season,Season_3
W02805,2022-11-29,1.51,0.09,0.0324,0.05,0.01,,,Wetland Pool 18,19452.0,sample,,,41.02376167,-83.68995333,0.0998,1.4082,0.0577,0.0863,0.0225,0.085,1.5,0.0316,0.0784,0.01,P-18,2.0,12:1 to 19:1,774.8,19452.0,Autumn,Non_Crop_Season,Season_4
W02750,2022-11-01,2.23291,0.261,0.02,0.1614,0.01,,,Wetland Pool 18,19452.0,sample,,,41.02404667,-83.68998833,0.0998,1.4082,0.0577,0.0863,0.0225,0.2145,2.1181,0.02,0.1677,0.01,P-18,2.0,12:1 to 19:1,774.8,19452.0,Autumn,Non_Crop_Season,Season_4
W03666,2023-06-15,1.12,0.06,0.02,0.05,0.01,,,Wetland Pool 18,19452.0,sample,,Cattails on edges. Other low or underwater veg in deeper water,41.0238,-83.68997833,0.0998,1.4082,0.0577,0.0863,0.0225,0.06,1.12,0.02,0.05,0.01,P-18,2.0,12:1 to 19:1,774.8,19452.0,Summer,Crop_Season,Season_5
W00051,2021-05-27,0.8,0.108,0.122,0.01,0.169,0.692,0.064,Wetland Pool 18,19452.0,sample,This pool was full of water,,41.024038,-83.689883,0.0998,1.4082,0.0577,0.0863,0.0225,0.108,0.8,0.122,0.01,0.169,P-18,2.0,12:1 to 19:1,774.8,19452.0,Spring,Crop_Season,Season_1
W00076,2021-07-30,1.176,0.084,0.02,0.164269,0.01,,,Wetland Pool 18,19452.0,replicate ,,,41.023611,-83.689722,0.0998,1.4082,0.0577,0.0863,0.0225,0.084,1.176,0.02,0.1643,0.01,P-18,2.0,12:1 to 19:1,774.8,19452.0,Summer,Crop_Season,Season_1
W02689,2022-09-20,1.160394,0.077,0.0557,0.05,0.0196,,,Wetland Pool 18,19452.0,sample,,,41.023775,-83.68996667,0.0998,1.4082,0.0577,0.0863,0.0225,0.077,1.1604,0.0557,0.05,0.0196,P-18,2.0,12:1 to 19:1,774.8,19452.0,Autumn,Crop_Season,Season_3
W02804,2022-11-29,1.49,0.08,0.0307,0.1067,0.01,,,Wetland Pool 18,19452.0,sample,,,41.02402167,-83.69000667,0.0998,1.4082,0.0577,0.0863,0.0225,0.085,1.5,0.0316,0.0784,0.01,P-18,2.0,12:1 to 19:1,774.8,19452.0,Autumn,Non_Crop_Season,Season_4
